word,difficulty
Toni the tiger, mittel
Rufen sie jetzt an, mittel
Rocksoild, mittel
Leon (böse), leicht
Sponsor, schwer
Bayrisch, leicht
Schüler stellen was vor, mittel
Kopieren gehen > 5 min, schwer
Sexsuelles sagen, leicht
Frauernwitze, mittel
Ausländersprache, leicht
Krypto (Finanzen), schwer
Redewendung, leicht
Random Lachen, leicht
Gogo aufgerufen (Georgius), leicht
Timer wird gestellt, leicht
Schimpfwort, leicht
Neues Wort gelernt, schwer
Religös, mittel
Kopf krazen, leicht
Beschwerde PC zu langsam, mittel
Schüler stark loben, leicht
Wort nachsprechen, mittel
Vierte Fremdsprache, leicht
singen, mittel
Er redet über seine Frau, schwer 